gamelength,gameId,platformId,puuid,summonerId,participantId,teamId,championId,spell1Id,spell2Id,accountId,summonerName,currentPlatformId,currentAccountId,matchHistoryUri,profileIcon,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk1,perk2,perk3,perk4,perk5,perk0Var1,perk0Var2,perk0Var3,perk1Var1,perk1Var2,perk1Var3,perk2Var1,perk2Var2,perk2Var3,perk3Var1,perk3Var2,perk3Var3,perk4Var1,perk4Var2,perk4Var3,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,creepsPerMinDeltas(10-20),xpPerMinDeltas(10-20),goldPerMinDeltas(10-20),damageTakenPerMinDeltas(10-20),role,lane,creepsPerMinDeltas(0-10),goldPerMinDeltas(0-10),xpPerMinDeltas(0-10),damageTakenPerMinDeltas(0-10),damageTakenDiffPerMinDeltas(10-20),damageTakenDiffPerMinDeltas(0-10),xpDiffPerMinDeltas(10-20),xpDiffPerMinDeltas(0-10),csDiffPerMinDeltas(0-10),csDiffPerMinDeltas(10-20),visonary,turretdestroyer,split,survivor,[damageTakenPerMinDeltas(10-20)],[xpPerMinDeltas(0-10)],[creepsPerMinDeltas(0-10)],[damageTakenDiffPerMinDeltas(10-20)],[xpDiffPerMinDeltas(0-10)],[creepsPerMinDeltas(10-20)],[damageTakenPerMinDeltas(0-10)],[xpDiffPerMinDeltas(10-20)],[csDiffPerMinDeltas(10-20)],[goldPerMinDeltas(10-20)],[csDiffPerMinDeltas(0-10)],[damageTakenDiffPerMinDeltas(0-10)],[goldPerMinDeltas(0-10)],[xpPerMinDeltas(10-20)]
2731,5023834416,EUW1,MmvBJjQuZMeJvMwuQWTsO30hGnhgrKX4_kCtYhcP2WkQDk-S67A_IbwxX1wjM4ETdkG8n4CtQEhZEw,dv5lbIDjS7dKsJHeMqovPX4QpLa9ZuL5ch3FKZl0Oz4pi-w,1,100,131,4,14,bEY3dBXGbkbKibqTSrwQ1XWaiC7HgWt1zds3F4gVZS4dqZA,TeaSamurai,EUW1,bEY3dBXGbkbKibqTSrwQ1XWaiC7HgWt1zds3F4gVZS4dqZA,/v1/stats/player_history/EUW1/228680267,4057,False,4636,3157,3100,3135,3916,3020,3340,7,14,14,2,2,2,698,1,0,0,0,0,286840,230848,31137,24853,0,40487,36168,2030,2288,2518,1,58042,9923,4462,40,14,43773,10417,31366,1989,15674,15450,2,2,176,39,26,1,75,18,2,0,14,2,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,8226,8233,8236,8401,8473,3497,0,0,250,904,0,27,0,0,80,0,0,556,0,0,1570,0,0,8200,8400,5005,5008,5001,4.699999999999999,433.7,390.6,791.9,SOLO,MIDDLE,5.699999999999999,238.3,456.4,317.2,-11.399999999999977,-47.10000000000001,-14.200000000000017,69.79999999999998,0.5,-0.7,1,0,0,-1,,,,,,,,,,,,,,
2731,5023834416,EUW1,pjfTsnQZJ5I_GhSAqZWPfOQWDEvibleKxJePNhGrRJz08nlQ9Ca3TP8HL16C8o_bsfXlUEvY_xHqNA,v_c5TLlQ5MwwSlcxNifX0yQIU_ECpTV6Lo7jJoQcoeICufJq,2,100,121,4,11,8SCKuRsS3sdhfvq6Wswm65TFpMUpocH3NDmmloRTGLv6Q6QDAe8zZKQk,Paandemonium,EUW1,8SCKuRsS3sdhfvq6Wswm65TFpMUpocH3NDmmloRTGLv6Q6QDAe8zZKQk,/v1/stats/player_history/EUW1/2409867835601824,3545,False,6691,3047,3142,6676,3134,6694,3363,15,14,14,4,2,3,350,1,0,0,0,0,265552,9262,234950,21339,717,35628,1945,31679,2003,21580,1,38383,33193,550,35,21,52643,12852,38354,1436,18628,15850,1,1,79,128,82,11,579,18,4,0,13,6,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8128,8143,8138,8135,8275,8232,2578,28,0,913,0,0,18,0,0,11124,5,0,35,0,0,6,50,0,8100,8200,5008,5008,5002,0.3,548.0,440.5,1322.5,NONE,JUNGLE,0.30000000000000004,324.9,295.5,780.4000000000001,290.0,71.70000000000005,-6.199999999999989,-41.60000000000002,-0.3,-0.7,0,0,0,-1,,,,,,,,,,,,,,
2731,5023834416,EUW1,Zl-XMmaov1ijU9VRO_s6tR4o7_GQJ5tQgnOi9vo9Q0n6nJb1hAMq5Nsi7OdmmcUtjMHaOOjSaypBYA,k5ozjQFiuQLbbnTK3uRrhqramRcIpwVhh4d_DKSjQcUJHDY,3,100,81,7,4,4i5Zw2U1L1PZNfnSlxEROtox6x0nJvbr_Et7DfP8La0jp3I,taki mlaki,EUW1,4i5Zw2U1L1PZNfnSlxEROtox6x0nJvbr_Et7DfP8La0jp3I,/v1/stats/player_history/EUW1/212413108,3496,False,3042,3158,3078,6694,3074,3153,3340,19,9,13,7,2,4,694,3,0,0,0,0,350171,46405,267408,36356,0,59582,19628,36764,3188,13074,5,28471,792,409,28,16,41608,8030,32486,1091,22450,20633,0,0,249,22,21,0,392,18,0,0,17,3,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8358,8304,8345,8347,9111,9104,43,955,24,9,4,5,3,0,0,0,0,0,2514,640,0,15,50,0,8300,8000,5008,5008,5002,4.1,453.8,444.7,635.9,DUO_CARRY,BOTTOM,4.8,226.4,300.7,221.39999999999998,-24.500000000000057,-72.75000000000003,-0.20000000000001705,22.65000000000002,-2.2,-0.9000000000000001,1,0,0,0,,,,,,,,,,,,,,
2731,5023834416,EUW1,n_szGtychmZ648zuALzBLhbNdYw0sAyW4_hpsJWGpBQ3BaAGgoZnzUS8dj8Vu75l2PFtDebvUD4WTg,bs1mwJkr8ntudm2wOuA3CYh436MtKtz7fc-pYUVBQaVrpmY,4,100,58,14,4,Af3OecpChL2tiOcXz-RPWrmXAiaPWB3pufmGzum_l2WeWw,ºÛº,EUW1,Af3OecpChL2tiOcXz-RPWrmXAiaPWB3pufmGzum_l2WeWw,/v1/stats/player_history/EUW1/30109636,673,False,6630,3047,3075,3153,3053,3071,3340,12,11,12,3,1,3,641,0,0,0,0,0,415159,26654,356611,31893,18,52761,6877,43474,2409,32178,1,118719,12560,12560,37,38,96172,20431,66838,8903,22000,19275,5,0,304,30,0,26,137,18,1,0,17,0,True,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,9111,9104,8014,8143,8135,3993,1888,2105,4582,480,0,12,40,0,1270,0,0,1245,0,0,11408,5,0,8000,8100,5008,5008,5002,8.3,626.6,596.5,1489.0,SOLO,TOP,7.5,334.8,497.2,573.5,454.6,83.10000000000005,167.29999999999998,37.89999999999998,1.8000000000000003,3.1,1,1,1,-1,,,,,,,,,,,,,,
2731,5023834416,EUW1,5w8RoFwbL6HQHOVoYH-rUQWyJrew3tNHYIdutog4CWam4MMD1fGyYd-JdPh2eknbpRmpNlIfiKKh4A,DzJ3Hp0ZiN1yugAYHjssJzzGJcQ_LDRo7dXA3JAC7fRffGaY,5,100,35,14,3,uuZqd5WAWN8SPlJY5w-g7TinZ38vjc6A4-Eb8u5ERWM5y4PdzHohztTR,12mrshacostore,EUW1,uuZqd5WAWN8SPlJY5w-g7TinZ38vjc6A4-Eb8u5ERWM5y4PdzHohztTR,/v1/stats/player_history/EUW1/2363442663911584,4568,False,3050,3157,3853,4005,3165,3158,3364,8,8,22,2,1,2,770,0,0,0,0,0,115500,100276,12438,2785,0,32704,29281,767,2655,6297,1,30406,1050,105,72,55,34704,7467,25690,1545,14092,12950,0,0,55,8,4,0,699,18,4,0,24,8,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,8226,8210,8237,8345,8304,3647,0,0,250,533,0,21,0,0,927,0,0,3,0,0,9,4,5,8200,8300,5007,5008,5002,1.0,420.9,346.6,699.4,DUO_SUPPORT,BOTTOM,0.3,167.7,270.2,205.39999999999998,-24.500000000000057,-72.75000000000003,-0.20000000000001705,22.65000000000002,-2.2,-0.9000000000000001,1,0,0,0,,,,,,,,,,,,,,
2731,5023834416,EUW1,B_f2RUulmohFa3UUEeved-D_8Zv-xoQsWQLS6X3cX078QQE840lJkGzJ2qBUIVjcLnh_c2fKdCBQqg,XjtTDa6FmCc1t1eL6UgbvhCUFi4MPttcTt7r-HHu-ykvLwo,6,200,34,4,12,imsiwCmzA_G-F7l1WU-7OP62Exp3OK8Pf1NIqP1SoOThRDU,VenuzDeAce,EUW1,imsiwCmzA_G-F7l1WU-7OP62Exp3OK8Pf1NIqP1SoOThRDU,/v1/stats/player_history/EUW1/232737907,4862,True,3070,3165,3157,3111,6655,3089,3340,4,12,17,2,1,1,555,0,0,0,0,0,221588,204432,17130,25,0,26432,24885,1521,25,5726,1,28979,12583,1260,25,60,43343,19488,23443,411,15946,14500,0,1,189,40,21,10,1699,18,0,0,16,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8230,8226,8210,8237,8313,8345,24,0,0,250,3189,0,29,0,0,794,0,0,0,0,0,3,0,0,8200,8300,5005,5002,5003,5.3999999999999995,447.9,383.1,803.3,SOLO,MIDDLE,5.199999999999999,204.7,386.6,364.3,11.399999999999977,47.10000000000001,14.200000000000017,-69.79999999999998,-0.5,0.7,-1,0,0,-1,,,,,,,,,,,,,,
2731,5023834416,EUW1,XFzJOTKeWgMFv7cczZPsrJoSKYpKEzCEEav1SxoaNRQdD1E398BQ8MEx5bYN5c_0FOZ3v64kcE-vBg,C8KA2K1RUiTmcRdTouk94lMGBEAeZCyeSgJnoiGsVeunsrc,7,200,24,11,4,E0wqyjBZnletwOLKa-WTWkrLg4VRiM-k1Qgb-5LTyyp2Amg,Jackÿ,EUW1,E0wqyjBZnletwOLKa-WTWkrLg4VRiM-k1Qgb-5LTyyp2Amg,/v1/stats/player_history/EUW1/204847910,3379,True,3078,6333,3047,6609,3053,3091,3364,17,11,15,8,2,3,509,2,0,0,0,0,255653,59054,183858,12740,0,50031,14843,33532,1654,26920,1,85780,28801,1786,41,42,62878,22010,30621,10245,22182,18508,1,2,61,164,113,16,303,18,1,0,2,14,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,9111,9104,8014,8105,8143,1231,0,0,3752,640,0,15,0,0,1762,0,0,12,5,0,1474,0,0,8000,8100,5005,5008,5002,1.0,554.2,521.3,1032.5,NONE,JUNGLE,0.6,261.6,337.1,708.7,-290.0,-71.70000000000005,6.199999999999989,41.60000000000002,0.3,0.7,1,0,0,0,,,,,,,,,,,,,,
2731,5023834416,EUW1,DMFQRp6c-ipH1f3yqhYXDGW5_3z-LHkJKjYF106M4ZbEMrSDagwZNY_suI5B_56x7bG1fytvzqprJQ,PiG8P5Hvj8p58Dv0Izbc8_0vIjiH1BHOEIC286EDGIzIE_E,8,200,89,14,4,Ya6NiSIXX2yEFVUby0zXDmtZ1_kCxKNdhhWxrKln4PHShjI,NONANTEDIX,EUW1,Ya6NiSIXX2yEFVUby0zXDmtZ1_kCxKNdhhWxrKln4PHShjI,/v1/stats/player_history/EUW1/223445040,4625,True,3857,3117,3190,3109,3067,3143,3364,1,10,22,0,1,0,523,0,0,0,0,0,41643,23090,11945,6607,0,11416,7455,2535,1426,9054,5,62266,4395,406,39,64,48983,21358,26733,892,11602,10675,0,0,39,0,0,0,109,18,3,0,20,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,8463,8473,8451,8345,8347,1247,0,0,1621,0,0,1675,0,0,273,0,0,3,0,0,0,0,0,8400,8300,5007,5002,5001,0.9,309.4,246.0,639.6,DUO_SUPPORT,BOTTOM,1.5,141.9,237.4,344.6,24.500000000000057,72.75000000000003,0.20000000000001705,-22.65000000000002,2.2,0.9000000000000001,0,0,0,0,,,,,,,,,,,,,,
2731,5023834416,EUW1,EbjzJRAltMXFbw2WfB-Dg4fyJjfIN1GpgfpzS87eiiE-UxcqZgBZC5NlehdsvMp1cHHB3QcAlOLZQw,8o8calmdeapnENKkbC2HU1ufH1QX5T_7IkgPdZjeTekzpXA,9,200,875,4,14,5KKaheMT7Z8fPjI7IBCR1lwbtDcdQ9LjbFHTFpYwP75CXjA,MrZero,EUW1,z8R8KN7yoUzADA9bNkRkP96QXbmWI8poC2Ip7FWrPO6kcZQ,/v1/stats/player_history/EUN1/201273602,4503,True,3078,3748,3153,3006,3031,3133,3340,10,19,3,3,1,3,277,0,0,0,0,0,279463,1242,244733,33486,670,58756,1242,46374,11140,10726,1,54118,20773,19330,27,40,67941,19508,46874,1558,17824,16133,7,1,206,12,1,4,249,18,0,0,15,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9923,8126,8138,8135,8233,8236,108,102,0,1363,0,0,18,0,0,6773,4,0,23,20,0,48,0,0,8100,8200,5005,5008,5002,5.2,459.3,503.5,1034.4,SOLO,TOP,5.699999999999999,267.29999999999995,459.3,490.4,-454.6,-83.10000000000005,-167.29999999999998,-37.89999999999998,-1.8000000000000003,-3.1,-1,1,1,-1,,,,,,,,,,,,,,
2731,5023834416,EUW1,6l0NpT6v8gNmRPjuSNtZP-FKM8g3ShhxXSLub9KXk8muf_gJdSypmNzp3ouasD4a_l3Q8Gft4JH79Q,aijOW64Q3KN21FRVL2J8Xzb9mgxHXAfUCkgam3oPUK81XPo,10,200,202,7,4,nTYIsOPQGyEKjMhvSQd9ULGS7seViygJVN47YB6lZWeJug,Bronze Escape,EUW1,nTYIsOPQGyEKjMhvSQd9ULGS7seViygJVN47YB6lZWeJug,/v1/stats/player_history/EUW1/41482962,3196,True,6671,3142,3036,3095,3031,6676,3363,24,9,8,12,3,6,586,4,1,0,0,0,391417,38465,350446,2505,2730,63385,8472,54193,720,24094,4,19935,51030,5626,21,22,44224,17281,24698,2244,25117,25800,2,2,305,15,7,0,228,18,0,0,12,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8128,8139,8138,8135,8014,8009,4296,34,0,3753,0,0,18,0,0,11272,5,0,2078,0,0,3512,0,0,8100,8000,5008,5008,5002,6.0,565.7,509.20000000000005,744.7,DUO_CARRY,BOTTOM,8.0,252.89999999999998,288.2,227.7,24.500000000000057,72.75000000000003,0.20000000000001705,-22.65000000000002,2.2,0.9000000000000001,0,0,0,1,,,,,,,,,,,,,,
2138,5029059178,EUW1,Zl-XMmaov1ijU9VRO_s6tR4o7_GQJ5tQgnOi9vo9Q0n6nJb1hAMq5Nsi7OdmmcUtjMHaOOjSaypBYA,k5ozjQFiuQLbbnTK3uRrhqramRcIpwVhh4d_DKSjQcUJHDY,1,100,147,3,4,4i5Zw2U1L1PZNfnSlxEROtox6x0nJvbr_Et7DfP8La0jp3I,taki mlaki,EUW1,4i5Zw2U1L1PZNfnSlxEROtox6x0nJvbr_Et7DfP8La0jp3I,/v1/stats/player_history/EUW1/212413108,3496,True,3853,4005,1026,6616,1011,3158,3364,3,4,21,0,1,0,791,0,0,0,0,0,77008,70313,4434,2259,103,27370,25908,1342,120,1684,3,8253,8883,4377,115,40,14689,6512,7828,348,10613,8700,1,0,59,4,4,0,170,15,10,0,61,21,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,8226,8210,8237,8136,8105,2367,0,0,250,500,0,34,0,0,553,0,0,28,30,0,13,5,0,8200,8100,5008,5008,5002,,,,,DUO_SUPPORT,BOTTOM,,,,,,,,,,,1,1,0,1,297.4,237.29999999999998,0.2,-100.19999999999999,-12.200000000000031,2.2,100.9,-30.599999999999994,-0.19999999999999996,254.10000000000002,-0.5999999999999996,-87.05000000000001,187.8,263
2138,5029059178,EUW1,5sdhqwN4EqELZQz4E9oo08xnQW_hjP4nYZ7wAPNYwJUVWnP4HhSF7j1d8_mYZOtcGvTWOf-LcrIG2Q,D6EwB101T3vJWfeTv-7Jk34aHg9K-9fFO5gz8NuBx4Vi-lU,2,100,72,11,4,m5uUlukKO5ygbkhGTIJX4wJEPyOd1CcEDnj-w6CZDyurfw,Trαz,EUW1,m5uUlukKO5ygbkhGTIJX4wJEPyOd1CcEDnj-w6CZDyurfw,/v1/stats/player_history/EUW1/26615609,4540,True,3111,6664,2055,1057,3742,3066,3364,6,5,16,3,2,2,978,1,0,0,0,0,112515,42685,59389,10440,0,15102,6118,8263,720,7669,1,38416,12889,674,30,33,25784,8443,16687,653,11376,9700,0,0,17,118,89,8,487,15,8,0,10,6,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,8009,9104,8014,8304,8347,740,0,0,2335,0,0,21,20,0,484,0,0,11,1,5,0,0,0,8000,8300,5005,5008,5002,,,,,NONE,JUNGLE,,,,,,,,,,,1,0,0,1,684.0999999999999,282.1,0.2,-212.5,-9.899999999999977,0.7,574.1,-182.10000000000002,-1,224.6,0.1,41.60000000000005,239.8,261
2138,5029059178,EUW1,y77P-IG--n_sL9LvY3kDGaraUxnIaiYYOI6V79F8FJkjB0-jmsutnUB1CAfyv9paGYLEV6IlkzEYNw,sfPAD8Bj-GjEifzGVG1mi7mvSRPJJPjq_SAlQ0p0dhFkuQY,3,100,81,7,4,9s66lie7ceoQOxyqkZAwZCQYE09MWtWWjTNwKYeWInDMdg,fozzbear,EUW1,9s66lie7ceoQOxyqkZAwZCQYE09MWtWWjTNwKYeWInDMdg,/v1/stats/player_history/EUW1/28209839,3370,True,6632,6694,3042,3158,3077,3133,3363,12,1,8,11,2,1,1140,1,0,0,0,0,150072,21259,126501,2312,0,32377,12622,19060,694,2979,3,5972,12666,6009,41,4,13881,6054,7686,139,14377,13100,3,1,178,16,8,4,85,15,2,0,12,8,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,8009,9103,8014,8226,8210,361,0,0,4117,0,0,27,40,0,866,0,0,250,657,0,23,0,0,8000,8200,5005,5008,5002,,,,,DUO_CARRY,BOTTOM,,,,,,,,,,,1,1,0,1,338.4,306.9,6.5,-100.19999999999999,-12.200000000000031,4.6,117.4,-30.599999999999994,-0.19999999999999996,285.3,-0.5999999999999996,-87.05000000000001,240.10000000000002,235.5
2138,5029059178,EUW1,fftAxsqE9utNLoEj545Vz0U7kaSbYUQRuPmK67rPCban4LJAh4xBnWokPhJURVOhvt_mFETIX7NI5A,xCgyCIVvUJMESv8OxBaWBq3XRoBrW294IG0BWJFxny6u9w4,4,100,54,12,4,3L1fIIqae5MTacqRdvLuAOfpqO25b4Yb_Y5w2Tfm9xXew8M,TheBurnedCrayon,EUW1,3L1fIIqae5MTacqRdvLuAOfpqO25b4Yb_Y5w2Tfm9xXew8M,/v1/stats/player_history/EUW1/224213510,665,True,3068,3193,3111,3076,0,4401,3340,8,3,19,4,1,2,941,0,0,0,0,0,139692,98771,35460,5460,19,35247,28211,7035,0,7164,1,53699,2667,2423,17,42,25746,7546,17145,1055,13304,12375,1,0,187,0,0,0,647,17,1,0,11,0,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,8226,8210,8237,8345,8352,2076,0,0,250,1239,0,47,0,0,751,0,0,3,0,0,362,1833,1188,8200,8300,5008,5008,5002,,,,,SOLO,TOP,,,,,,,,,,,0,0,0,1,473.70000000000005,427.8,5.5,,,7,440.1,,,390.8,,,247.5,509.6
2138,5029059178,EUW1,oA9cb9wUvWqNZFDMZ6sqHtgj21kHRWPoesk3WSoXZUKCZNbvKhpLXYim7b6YWKppHrtu5HU6Ly-nbg,gW9vg2wJUrqthxiUEm1mnv6-gryfmitD-nZVufLirrdk0Q0,5,100,157,14,4,1IrgnYGZvdZVqFXb87MBaJ5CBjgi_KnOIy8zFsgJaVOXGvM,C Cube,EUW1,1IrgnYGZvdZVqFXb87MBaJ5CBjgi_KnOIy8zFsgJaVOXGvM,/v1/stats/player_history/EUW1/224212896,1391,True,1055,6673,3031,6333,3006,1042,3340,5,6,18,3,1,1,690,0,0,0,0,0,169381,9271,158322,1788,637,19182,1002,16631,1548,8175,1,27228,7964,4215,21,27,23501,9890,12584,1026,12820,12255,2,0,185,20,17,0,121,16,1,0,13,1,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8021,9111,9104,8014,8139,8135,2293,0,0,872,460,0,20,40,0,440,0,0,887,0,0,2791,5,0,8000,8100,5005,5008,5002,,,,,SOLO,MIDDLE,,,,,,,,,,,0,0,0,0,347.2,438.9,6.5,,,7.1,450.1,,,348.8,,,233.9,506.9
2138,5029059178,EUW1,pJCfRLk7KN7gXpffshV4GPY0nUZz9mobz8w-ta7su35aE7BPyrXbh8brEIsSaY145jFGUxjqiJA-Yg,oT6DgADdv1cR3AVczhsOwle8ey9qCe84tU8AdgVYwx0Jeds,6,200,106,11,4,Ma-ZpuuvZaQtHRsptnYG3gTwZO4VcvrtK1ACr6uLaTaHcw,Néphis,EUW1,Ma-ZpuuvZaQtHRsptnYG3gTwZO4VcvrtK1ACr6uLaTaHcw,/v1/stats/player_history/EUW1/28647362,4863,False,3053,6632,3047,3075,3133,1029,3364,6,4,10,3,2,2,1494,2,0,0,0,0,136475,48933,79195,8346,15,16193,4209,10975,1008,16151,1,54578,8006,113,23,29,41130,17843,22429,858,12402,12325,1,0,39,132,105,4,457,15,3,0,5,7,False,False,True,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,9111,9105,8299,8275,8232,1307,733,573,1834,320,0,16,10,0,624,0,0,22,0,0,7,40,0,8000,8200,5005,5008,5002,,,,,NONE,JUNGLE,,,,,,,,,,,0,0,0,1,896.5999999999999,292,0.1,212.5,9.899999999999977,1.7,532.5,182.10000000000002,1,331.8,-0.1,-41.60000000000005,254.39999999999998,443.1
2138,5029059178,EUW1,5QcenI0DnTlp6XEqbBRDr7B-KgNOAbBlxM9P-dzkOqhQiL5deH-9QnXtQrBW9AXMX0D0_WpNnQyDiQ,6YqIIanC1EalAQAdMPuOfQcY715TfMGmFMU0vj1EaAcl7Ao,7,200,50,4,7,jD8-qZ0pTMLP1UD-Hkto0JLvVKKJtR_xKzSuMo8FN9stAHw,Lîl Piep,EUW1,jD8-qZ0pTMLP1UD-Hkto0JLvVKKJtR_xKzSuMo8FN9stAHw,/v1/stats/player_history/EUW1/202110519,4782,False,3157,3020,6653,0,3165,1052,3363,3,7,12,0,1,0,1234,0,0,0,0,0,127337,112692,10797,3847,0,23778,23087,690,0,11658,3,17650,15209,1258,27,36,29895,16059,13184,651,11264,10660,0,0,172,10,4,1,282,15,3,0,9,8,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,8009,9105,8014,8210,8226,294,0,0,3882,0,0,17,0,0,433,0,0,18,0,0,250,1484,0,8000,8200,5008,5008,5002,,,,,DUO,MIDDLE,,,,,,,,,,,0,0,0,-1,312.8,521.1,7.4,,,7,186,,,391.4,,,289.4,392
2138,5029059178,EUW1,d8M6pDjrrfwop2xpSco2iWwpplVE-lq3Jt2_ApuodBmr3kLlCsNstq9RpdD4_4w5X0aSlckg8kW5Yg,YpptQUS-7XYd3j1dUcSo9vRh5UsswbAZnY2Q3mlgNqLW2mI,8,200,145,3,4,lqOTww1hMAphBdnF-jxhKRXGh4ayv0MfQljKXw7iRUPwXy8,0TP Feed,EUW1,lqOTww1hMAphBdnF-jxhKRXGh4ayv0MfQljKXw7iRUPwXy8,/v1/stats/player_history/EUW1/213653025,4661,False,3814,3035,0,3006,3085,6672,3363,5,7,5,2,1,2,1034,0,0,0,0,0,167379,14317,141264,11797,368,12394,2797,8680,916,5253,1,13102,10455,5265,30,4,22833,10556,12193,84,11998,11975,2,0,186,39,19,8,41,14,1,0,15,4,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9923,8139,8136,8135,8453,8401,40,74,0,1142,0,0,3,6,0,3513,5,0,725,469,0,199,0,0,8100,8400,5005,5008,5002,,,,,DUO_CARRY,BOTTOM,,,,,,,,,,,1,0,0,0,487.6,274.8,6,100.19999999999999,12.200000000000031,4.9,186.3,30.599999999999994,0.19999999999999996,423.20000000000005,0.5999999999999996,87.05000000000001,226.39999999999998,303.4
2138,5029059178,EUW1,QICrfOzfEtA8u6NmUAYWDxwhMO5VwovcclvBpKiap8JPd-rUIOJSoFAuwo9LHDph_hKka9bRXwEskg,VV-bAHJ5Gl2v-r20w6C_XQL5io8-Mx-93NG8dACpZTyp2EjX,9,200,117,4,14,q0iQrilXPWCtBQqpZjoC2768XfQqoiDtwGi7oP-xoJdJbsU,gold4lifee,EUW1,q0iQrilXPWCtBQqpZjoC2768XfQqoiDtwGi7oP-xoJdJbsU,/v1/stats/player_history/EUW1/240426671,4756,False,2031,4005,3860,6616,3158,0,3364,1,8,12,0,1,0,716,0,0,0,0,0,21423,10082,5474,5866,0,5786,4151,673,962,1407,1,10581,1108,320,50,30,19904,10890,8739,275,7981,6725,0,0,50,2,2,0,143,13,5,0,31,13,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8214,8226,8210,8237,8345,8347,449,851,0,250,193,0,2,0,0,170,0,0,3,0,0,0,0,0,8200,8300,5008,5008,5002,,,,,DUO_SUPPORT,BOTTOM,,,,,,,,,,,0,0,0,-1,348.6,293.8,1.9,100.19999999999999,12.200000000000031,2.3,206.1,30.599999999999994,0.19999999999999996,252.5,0.5999999999999996,87.05000000000001,165,256.3
2138,5029059178,EUW1,nSHv2hahdox1XUURcOxHrVysb5RBeK6oW7eRNHufdthQujPbJFVTDrCo0vUTzwB2YHyppouwZq2gDA,rRryK27keEsmZ7AHfirf98X8tBYoo5trZ6MZmSaeEGgKN6DU,10,200,58,4,12,wLlCevGoDZBNmPh4f-k029eb1xxgDtqaHYcnEfDmG49927LEkITMJCUE,Kriseagh,EUW1,wLlCevGoDZBNmPh4f-k029eb1xxgDtqaHYcnEfDmG49927LEkITMJCUE,/v1/stats/player_history/EUW1/2441077756848384,4862,False,3153,3111,6632,1055,3071,3133,3340,4,8,4,2,2,1,475,1,0,0,0,0,185662,6008,179037,616,0,19522,2869,16367,286,11951,1,30850,9597,4352,27,34,45439,21519,22705,1214,13420,12960,1,0,215,36,11,8,71,16,2,0,10,3,True,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,9111,9105,8299,8444,8453,799,0,0,1044,160,0,20,50,0,1261,0,0,1981,0,0,1717,32,0,8000,8400,5008,5008,5002,,,,,DUO,MIDDLE,,,,,,,,,,,1,0,0,-1,1247.6,478,7.4,,,7.3,595.3,,,352.3,,,330.3,487.5
